lat,lon,reported_date,reported_by,address,city,zip,addressline,country
40.42168,-3.65773,03/23/10 23:38:24,web,Calle del Alcalde Sáinz de Baranda| 28017 Madrid| Spain,madrid,28017,Calle del Alcalde Sáinz de Baranda,España
40.47692,-3.75563,03/23/10 23:38:29,web,M-40| 28023 Madrid| Spain,madrid,28023,M-40,España
40.42079,-3.70098,03/24/10 16:08:28,iphone,Calle de Hortaleza| 7-11| 28004 Madrid| Spain,madrid,28004,Calle de Hortaleza| 7-11,España
40.41995,-3.70108,03/24/10 18:07:37,web,Calle Gran Vía| 13-21| 28013 Madrid| Spain,madrid,28013,Calle Gran Vía| 13-21,España
40.43389,-3.53294,03/24/10 19:17:43,web,Av de San Pablo| 39-41| 28823 Coslada| Spain,coslada,28823,Av de San Pablo| 39-41,España
40.37711,-3.78343,03/24/10 20:34:45,web,Av de la Aviación| 28044 Madrid| Spain,madrid,28044,Av de la Aviación,España
40.67865,-3.97115,03/24/10 22:51:36,web,Av de la Salud| 2| 28411 Moralzarzal| Spain,moralzarzal,28411,Av de la Salud| 2,España
40.39578,-3.73789,03/25/10 11:09:14,web,Calle Vía Carpetana| 87| 28047 Madrid| Spain,madrid,28047,Calle Vía Carpetana| 87,España
40.39908,-3.73018,03/25/10 11:17:28,web,Paseo de la Ermita del Santo| 76| 28019 Madrid| Spain,madrid,28019,Paseo de la Ermita del Santo| 76,España
40.36738,-3.75411,03/25/10 12:26:59,web,Calle de Allariz| 3| 28044 Madrid| Spain,madrid,28044,Calle de Allariz| 3,España
41.57475,2.54145,03/25/10 13:11:50,web,N-II| 08350 Arenys de Mar| Spain,arenys de mar,08350,N-II,España
40.46304,-3.69893,03/25/10 16:47:28,web,Calle de Gonzalo Herrero| 9-19| 28039 Madrid| Spain,madrid,28039,Calle de Gonzalo Herrero| 9-19,España
40.37678,-3.78114,03/26/10 14:12:15,web,Calle de Mirabel| 1-5| 28044 Madrid| Spain,madrid,28044,Calle de Mirabel| 1-5,España
